,date,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LT,LU,RS,SE,SI,SK,TR,UK
0,2016-01-01,4590,145,821,886,1355,2084,1803,5230,1162,1503,1009,1248,961,948,1957,1766,469,920,3066,1517,2162.0,2836,157,408,182,2269
1,2016-02-01,3882,158,758,858,1345,2153,1755,4958,1235,1531,849,959,831,884,2015,1910,385,914,2454,1158,2253.0,2559,102,420,216,2178
2,2016-03-01,2918,525,789,841,1226,2760,2060,5148,1187,1769,852,1076,1022,798,2103,1986,504,1015,2647,1489,2613.0,2426,138,323,260,2241
3,2016-04-01,2206,202,780,786,1226,2354,1937,5049,1090,1797,1193,1063,979,923,2165,1701,448,890,2383,1534,2596.0,2480,137,357,201,2174
4,2016-05-01,3110,177,786,875,1429,2525,1844,5473,1337,1927,1146,1228,961,917,1943,1635,392,1009,3095,1941,2424.0,2721,172,436,222,2042
5,2016-06-01,4320,255,966,1424,1491,2918,2084,5264,1312,2173,800,1154,1239,1904,2321,2654,816,1151,2690,1587,2106.0,2898,247,1304,345,1961
6,2016-07-01,4912,206,1265,1162,2095,3960,3359,6355,1373,3086,844,1162,2397,2119,2755,1859,705,1682,3078,1792,2185.0,3364,362,523,593,2046
7,2016-08-01,2732,169,1154,858,1747,2797,1959,5986,1118,1965,777,1133,835,916,2044,1707,421,1023,2776,1285,1926.0,2647,311,355,232,2009
8,2016-09-01,1508,809,1520,1461,1893,1971,1955,5929,1530,1985,1245,2525,2160,589,1307,993,722,2189,3542,520,1036.0,1649,444,507,1030,1632
9,2016-10-01,1034,1013,1546,1615,2003,1611,1962,5949,1071,1637,1272,2966,2634,629,878,814,998,2595,3317,690,401.0,1414,558,336,1193,1537
10,2016-11-01,840,930,1275,1467,1388,1334,1635,5467,1339,1294,1144,2859,2076,737,692,706,812,2160,1989,258,435.0,1349,472,306,1091,1282
11,2016-12-01,996,867,1527,1432,1146,1349,1761,5469,1566,1343,1206,2821,2161,615,667,576,905,2384,2815,325,450.0,1350,375,451,1222,1249
12,2017-01-01,1500,965,1661,1779,2046,1746,1611,5644,1444,2364,1382,3332,2830,1453,1146,820,1126,3138,2711,414,506.0,1541,979,367,1341,1560
13,2017-02-01,1270,948,1609,1655,1815,1606,1627,5126,1825,2030,1385,3098,2514,1210,811,766,916,2685,2518,234,1008.0,1467,514,353,1312,1303
14,2017-03-01,1226,1219,1708,1850,1760,1957,1800,5579,1764,2399,1496,3685,3174,1203,1115,1048,1096,2971,2938,355,497.0,1506,700,427,1477,1580
15,2017-04-01,920,1075,1640,1613,1926,2196,2020,5514,1947,2240,2012,3212,3107,1253,938,802,945,3031,2683,353,473.0,1795,766,376,1444,1317
16,2017-05-01,870,1805,1668,1953,1605,1813,1938,4655,1733,1938,1709,3129,1867,1154,1244,416,1553,2921,3383,850,450.0,2131,495,459,1259,924
17,2017-06-01,1152,2169,1391,2224,1700,1932,2172,3055,1622,1476,1215,2249,980,1647,1505,100,2351,3053,3245,891,453.0,2432,247,225,1243,687
18,2017-07-01,1786,3289,2079,2739,2296,3055,3233,3436,1882,2203,1240,2537,2110,2757,2440,90,2741,4386,3098,1293,550.0,3202,394,362,1696,512
19,2017-08-01,1204,2489,1264,2221,1719,1863,2011,3378,1898,1286,1255,2536,777,1035,1708,110,2311,2746,3167,1141,328.0,2364,147,199,1059,548
20,2017-09-01,952,2476,1276,1981,1504,1760,2045,3180,1843,1122,1113,2503,734,767,1840,104,2346,2485,3692,1067,367.0,2182,163,179,946,609
21,2017-10-01,1042,2530,1237,2200,1491,1758,2134,3289,1806,860,1092,2334,761,691,1471,173,2386,2419,3122,1263,367.0,2360,152,165,892,610
22,2017-11-01,850,2366,1171,2035,745,1088,1714,3145,1063,742,870,2000,597,528,1118,470,2151,2101,2643,725,487.0,2139,110,131,708,552
23,2017-12-01,994,2136,1039,1727,872,1189,1747,2902,1571,716,1083,2208,640,617,956,88,2331,2268,2414,822,435.0,2247,136,138,744,538
